source_file,trade_id,entry_time,exit_time,entry_price_usd,exit_price_usd,qty,position_value_usd,net_pnl_usd,net_pnl_pct,mfe_usd,mfe_pct,mae_usd,mae_pct,cumulative_pnl_usd,cumulative_pnl_pct,entry_signal,exit_signal
2CiC_BT_COMEX_MINI_MGC1!_2026-02-15_bc462.csv,1,2025-04-13 21:30,2025-04-14 06:15,3412.4,3389.7,4,136496,908,0.67,908,0.67,-308,-0.23,908,0.61,2CiC Stage3 LMT,S-X
2CiC_BT_COMEX_MINI_MGC1!_2026-02-15_bc462.csv,2,2025-04-23 08:15,2025-04-23 09:30,3501.9,3460.9,4,140076,1640,1.17,1640,1.17,-100,-0.07,2548,1.70,2CiC Stage3 LMT,S-X
2CiC_BT_COMEX_MINI_MGC1!_2026-02-15_bc462.csv,3,2025-04-23 20:15,2025-04-23 21:15,3501.9,3518.3,4,140076,-656,-0.47,196,0.14,-656,-0.47,1892,1.26,2CiC Stage3 LMT,S-X
2CiC_BT_COMEX_MINI_MGC1!_2026-02-15_e80c3.csv,1,2025-05-01 11:00,2025-05-01 18:00,3386.4,3410.1,3,101592,-711,-0.70,462,0.45,-711,-0.70,-711,-0.47,2CiC Stage3 LMT,S-X
2CiC_BT_COMEX_MINI_MGC1!_2026-02-15_e80c3.csv,2,2025-05-25 20:00,2025-05-28 16:45,3500.3,3438.1,3,105009,1866,1.78,1866,1.78,-411,-0.39,1155,0.77,2CiC Stage3 LMT,S-X
2CiC_BT_COMEX_MINI_MGC1!_2026-02-15_3421e.csv,1,2025-06-03 08:30,2025-06-03 21:30,3511.1,3523.8,4,140444,-508,-0.36,912,0.65,-508,-0.36,-508,-0.34,2CiC Stage3 LMT,S-X
2CiC_BT_COMEX_MINI_MGC1!_2026-02-15_3421e.csv,2,2025-06-06 08:45,2025-06-06 15:45,3510.9,3464.9,4,140436,1840,1.31,1840,1.31,-180,-0.13,1332,0.89,2CiC Stage3 LMT,S-X
2CiC_BT_COMEX_MINI_MGC1!_2026-02-15_3421e.csv,3,2025-06-20 07:00,2025-06-20 08:30,3502.5,3491.5,4,140100,440,0.31,440,0.31,-16,-0.01,1772,1.18,2CiC Stage3 LMT,S-X
2CiC_BT_COMEX_MINI_MGC1!_2026-02-15_3421e.csv,4,2025-06-20 09:15,2025-06-20 09:30,3502.5,3506.9,4,140100,-176,-0.13,0,0.00,-176,-0.13,1596,1.06,2CiC Stage3 LMT,S-X
2CiC_BT_COMEX_MINI_MGC1!_2026-02-15_76b12.csv,1,2025-07-24 21:45,2025-07-24 22:45,3504.3,3495.1,4,140172,368,0.26,368,0.26,-24,-0.02,368,0.25,2CiC Stage3 LMT,S-X
2CiC_BT_COMEX_MINI_MGC1!_2026-02-15_965ce.csv,1,2025-09-10 22:00,2025-09-11 05:00,3754.5,3732,3,112635,675,0.60,675,0.60,-33,-0.03,675,0.45,2CiC Stage3 LMT,S-X
2CiC_BT_COMEX_MINI_MGC1!_2026-02-15_50db3.csv,1,2025-11-26 18:45,2025-11-26 23:00,4234.6,4212.1,3,127038,675,0.53,675,0.53,-54,-0.04,675,0.45,2CiC Stage3 LMT,S-X
2CiC_BT_COMEX_MINI_MGC1!_2026-02-15_50db3.csv,2,2025-11-27 03:15,2025-11-27 19:30,4234.6,4243.6,3,127038,-270,-0.21,525,0.41,-270,-0.21,405,0.27,2CiC Stage3 LMT,S-X
